 	EEG Fp1-A1	EEG F3-A1	EEG C3-A1	EEG P3-A1	EEG O1-A1	EEG F7-A1	EEG T3-A1	EEG T5-A1	EEG Fp2-A1	EEG F4-A1	EEG C4-A1	EEG P4-A1	EEG O2-A1	EEG F8-A1	EEG T4-A1	EEG T6-A1	EEG Fz-A1	EEG Cz-A1	EEG Pz-A1	EEG Fpz-A1	EEG Oz-A1	EEG A2-A1	Média por arquivo
ARLS.edf	73010766,8919	73010874,9262	73010679,9624	73010648,3691	73010670,9063	73010893,9647	73010995,8857	73010748,5853	73011030,0539	73010753,026	73010801,118	73010759,9817	73010722,2104	73010942,4074	73010777,1913	73011044,9127	73010772,4846	73010766,4183	73010826,5286	73010952,6486	73010680,5922	73011440,4936	73010843,1617682
BAC-11-1.edf	75309014,8467	75308546,0149	75308594,4007	75308513,6481	75308479,9711	75309007,8098	75308623,4334	75308419,6279	75308599,7368	75308263,8348	75308425,2642	75308509,5477	75308506,1196	75308389,9089	75308541,3837	75308537,7242	75308641,0296	75308466,7675	75308638,6535	75308632,0046	75308521,5887	75308503,3051	75308562,5737045
BAC-11-23.edf	159880121,3717	159879712,7522	159879797,0823	159879541,772	159880294,7169	159880814,3846	159880004,5936	159880025,0477	159880589,8757	159879395,1537	159879662,3608	159879735,5275	159879868,5812	159881824,0582	159879968,0812	159880705,7066	159879882,6577	159879542,3732	159879934,6829	159879942,1185	159880075,3868	159879793,8693	159880056,007014
DSN-16-1.edf	166408895,287	166406326,6719	166406916,8658	166405918,6143	166406170,0318	166407603,7106	166407505,0137	166405889,5248	166409733,9899	166406527,8884	166406368,3843	166406242,365	166406100,5444	166408466,4099	166406436,9838	166406077,5265	166406351,494	166406144,1877	166406292,0899	166408948,6054	166423248,7423	166406755,9572	166407678,222209
HCT-4-1.edf	82474247,1163	82464305,8697	82464722,8803	82464293,4379	82464264,3997	82464253,5311	82464494,9091	82464451,2809	82469025,3375	82464323,3516	82464216,8828	82464280,4616	82464257,6369	82465614,8039	82464312,9556	82464315,8855	82464225,5191	82464296,2282	82464263,6602	82472815,3154	82464287,185	82464739,1772	82465454,9011591
HCT-4-23.edf	72755379,0928	72755128,0193	72755296,8634	72755030,3722	72754950,9085	72756101,8319	72754849,6942	72755027,0389	72755300,7275	72755006,72	72755038,4795	72755031,6328	72756630,8843	72755558,6834	72755067,0285	72754996,865	72756813,6402	72754960,3875	72755119,6863	72755041,4176	72755005,1624	72755029,4979	72755289,30155
HDO-1-1.edf	76681124,2878	76675531,5521	76675298,0038	76675220,9798	76675258,4337	76678404,6063	76687200,9953	76677187,9586	76691208,5538	76675697,3457	76675398,0178	76675178,733	76675264,413	76677543,8742	76676093,9927	76675348,0274	76677240,8026	76675429,517	76675184,7933	76686393,0155	76675555,549	15397003,7543	73892443,9639409
IL-7-1.edf	74779036,1496	74776537,5361	74776399,8321	74776368,7404	74776442,1966	74776891,001	74776731,3659	74776541,814	74778121,527	74776653,4051	74776480,3619	74776350,6588	74776483,1518	74776982,1955	74776465,2296	74776434,9289	74776582,6631	74776479,088	74776320,0309	74777666,5545	74776341,7117	74776381,4637	74776758,7093728
IL-7-23.edf	161218046,42	161222612,577	161206942,2912	161206386,4803	161206304,3686	161211366,5252	161209333,5429	161206404,2359	161220442,25	161206850,6825	161206412,6707	161206925,6949	161206178,6814	161207926,2319	161213713,7574	161211826,0109	161206870,1459	161206337,3627	161206600,0676	161241569,3369	161206371,6522	161207644,8138	161211048,44545
JCC-10-1.edf	77621567,5725	77607262,3217	77607424,9209	77607193,9085	77607067,717	77608700,2531	77607443,6128	77607531,6594	77618303,6135	77607528,6643	77607181,8322	77607153,3868	77607110,1731	77606966,5756	77607593,8781	77607415,6522	77607807,9032	77607109,7935	77607119,7792	77615031,1383	77607083,5832	77607033,3103	77608846,8749727
JCC-10-23.edf	155062423,3093	155060881,2409	155061113,2761	155059972,9046	155059881,3175	155061880,8143	155059628,7882	155059877,3421	155062405,7699	155060323,2133	155059969,5376	155059819,2116	155059684,2723	155060931,1141	155059903,0701	155060076,2955	155060714,1727	155060004,4897	155060257,3727	155062097,6456	155059628,5499	155059548,5436	155060501,011436
LBN-12-1.edf	74138207,5444	74136684,0982	74135961,6931	74136165,0897	74135947,4867	74136330,3817	74135645,8213	74135804,6815	74137318,5253	74136432,7067	74136036,2583	74136588,811	74135926,8412	74136306,8577	74135811,8074	74135861,3894	74136021,6023	74136028,3809	74136025,7287	74137697,911	74135794,7733	74136000,8166	74136299,9639273
MDG-15-1.edf	78866937,467	78866807,5814	78866323,207	78866215,7479	78866293,233	78868456,3046	78866254,1338	78866303,0269	78867683,3351	78866531,5391	78879257,6823	78866322,7443	78866503,6385	78867600,9146	78866784,2134	78866284,4127	78866831,3216	78866143,9149	78866307,2612	78866810,7319	78866303,4289	78866437,3843	78867245,1465636
MLLC-9-23.edf	156088781,0091	156087473,6417	156087271,0449	156086831,2069	156087077,883	156095215,5899	156086631,555	156086909,93	156086188,1621	156086486,0502	156086773,4862	156086846,7059	156086746,5302	156087635,9423	156087005,4023	156086818,2006	156087009,9163	156086685,6741	156086865,6029	156087209,8042	156089072,5881	156087231,6942	156087489,437277
MLSGB-5-1.edf	83714311,1573	83713901,6425	83713858,1744	83713866,9253	83713911,5548	83713988,2233	83713838,5063	83713903,8931	83714412,4006	83713886,7439	83713866,3359	83713751,078	83713951,6092	83714245,5657	83713879,2249	83713883,4127	83713964,3786	83713882,2128	83713871,3853	83714205,4883	83714013,8728	83713823,7027	83713964,4312909
MLSGB-5-23.edf	70336930,3123	70335964,7895	70335847,3435	70335901,4481	70335995,5242	70336131,8096	70336673,9177	70335991,844	70336778,7367	70336060,2339	70336233,9926	70336204,814	70336013,4698	70336176,8786	70336241,4168	70335965,8623	70336038,8297	70336122,4425	70335995,9373	70336562,6758	70336077,9947	70335959,3802	70336175,8933545
MRS-13-1.edf	76997832,8502	76988538,0499	76987773,104	76987928,1252	76987941,1498	76988628,5114	76990938,3506	76987807,7764	76989156,5054	76988019,6674	76987802,5612	76987982,6394	76987774,2486	76987934,3458	76988075,7486	76987702,9408	76988403,6324	76987925,5296	76988097,5889	76988918,1204	76987813,5916	76988924,8599	76988723,6317045
NS-6-1.edf	77058449,1025	77058494,2143	77058269,6944	77058249,5759	77058312,4857	77058592,9961	77059105,2175	77058487,7956	77058423,9227	77058344,5097	77058165,7907	77058340,1584	77058260,4176	77058240,8095	77058569,6798	77058702,7184	77058374,9415	77058096,2441	77058547,4724	77058612,1543	77058399,4041	77058173,1179	77058418,7465045
TPP-3-1.edf	76953444,7634	76953482,7157	76952834,4112	76952830,5757	76953174,3099	76953020,0014	76952713,282	76952703,6616	76953317,153	76952834,9564	76953296,5185	76953128,2433	76952803,6994	76952822,4979	76953299,9121	76952876,9441	76952746,421	76952802,4984	76952683,377	76953281,5206	76952730,0407	76952740,5581	76952980,3664273
TPP-3-23.edf	72499382,5025	72498690,5646	72498744,1059	72498741,0537	72498749,754	72499095,7992	72499091,3406	72499094,0521	72499072,9638	72498732,5506	72498681,92	72498780,9859	72498816,1453	72499041,5957	72498808,3683	72499134,4449	72498699,8296	72498797,1897	72498946,4541	72498481,9335	72498795,5171	72498806,1009	72498872,0532727
Média por canal	97092744,952715	97090387,83899	97089503,45787	97089290,94878	97089359,41744	97090768,90249	97090385,19798	97089455,538835	97092355,65701	97089432,612165	97090003,472775	97089396,66908	97089380,16341	97090057,58354	97089867,46628	97089700,493065	97089699,669285	97089301,035015	97089394,907645	97093043,507045	97090290,045735	94025598,59004	
																							
Média:	97090181,8827214																						
Desvio padrão:	1144,7261227428																						
Significância:	1,17903386371813E-005																						
